d51fd13b-4190-4570-9907-8df04f60a523,100000.0,71239ec1-8b93-4af9-8486-01ac02130c9a
fac285b9-5ab0-4f75-911f-984094eeac87,1.0E12,ede1f060-0782-4c0a-8f39-8ea16f808d96
e583556b-6ebe-42f0-a48e-825a5ddd60f1,1.0E7,30d5106d-1fe4-4382-8035-ed37d6af20e2
6f419fb9-38e6-4edc-b9f9-246859155997,10000.0,47104765
c09a05da-c3aa-475c-a2f7-a5e59031ab28,1000.0,47103371
53168660-b7e2-4c8f-9374-1eb196075da0,500000.0,46967607
f211d50c-a30f-471c-a029-58cbbd6766df,1.0E7,457467547
827e0f3b-6226-4dc9-9d4b-297f6d837753,1000000.0,4565464
8e8ca844-72ec-4f59-9f5c-c25a9940ceb7,100000.0,1235432634
8246bc3a-b596-413a-b538-1dc14a23423f,100000.0,4536546
c8ccf26a-b360-4f09-8d78-90633469b63b,1000000.0,436453654
9d2b03e0-7ec2-4b31-9738-004228c1f5fc,1000000.0,46967607
67896786,tipo de cuenta: Caja de ahorro,5a9f8330-ae93-4b31-a695-ef0c12b7e08e,100000.0
4710,tipo de cuenta: Cuenta Corriente,403c3e52-b747-4f45-a322-a05b7e3974fc,1000.0
4710,tipo de cuenta: Cuenta Corriente,75260751-a1d4-44a6-b6ef-6e40801f5353,10000.0
4710,tipo de cuenta: Cuenta Corriente,69b16fc2-331f-4c1d-a08d-42be2c0f6881,10000.0
46967607,tipo de cuenta: Cuenta Corriente,7978ff46-dc98-480b-bc4f-8485a5b0b6ac,100000.0
46967607,tipo de cuenta: Cuenta Corriente,23f9eabf-bdca-4b05-8084-f1edfa7b08c3,15000.0
12343254,tipo de cuenta: Cuenta Corriente,a1275919-42c0-41dc-8ba6-182891b20808,10000.0
3245324,tipo de cuenta: Cuenta Corriente,1e639969-8099-4a72-a70e-46d1650e15da,100000.0
3245324,tipo de cuenta: Cuenta Corriente,da382f2a-8704-46ad-8c08-b3b933e4ce2a,1000.0
325325,tipo de cuenta: Cuenta Corriente,7f449384-bbc6-45ed-aca2-c3b749df6b74,100000.0
325325,tipo de cuenta: Caja de ahorro,fb7047a5-d544-4c99-b7a2-ce75ed98fd0c,25032.0
46836221,tipo de cuenta: Cuenta Corriente,8db0b23f-39fa-4cc3-bfa7-57a2148442a6,1000000.0
46836221,tipo de cuenta: Cuenta Corriente,1b01b6b4-3bb7-4f82-ba78-70e922b21579,1.0E7
46836221,tipo de cuenta: Cuenta Corriente,127065a8-72a5-4e59-833f-42c122070d67,100000.0
45265415,tipo de cuenta: Cuenta Corriente,21c403ff-3371-4443-9034-bcf1fff443a1,100.0
45265415,tipo de cuenta: Cuenta Corriente,069dea56-72e6-4cc6-9910-b226ee15fbfa,1000000.0
46836221,tipo de cuenta: Cuenta Corriente,6fdd4c8a-e4be-48d5-800a-902e3f44320c,1000000.0
46836221,tipo de cuenta: Cuenta Corriente,b29a577b-8b70-4fd7-99bb-e5b55470e884,1000.0
46836221,tipo de cuenta: Cuenta Corriente,04aa8f8b-4a35-476f-8992-998aeea96783,10000.0
46836221,tipo de cuenta: Cuenta Corriente,dc7d0ff8-732d-49cb-85a0-8b002f759056,10000.0
